cat_category,category_std
Gluten-Free,7.316939023597674
Diners,6.2793817280028765
Wine Bars,6.254850262801418
Vegetarian,6.163651454054216
Steakhouses,5.402617350908963
Fast Food,5.383179184504096
Breakfast & Brunch,4.069659176114534
Burgers,4.0561771855647875
American (New),3.923395849960109
American (Traditional),3.8418669407784747
Seafood,3.471940453958012
Bars,2.621195869252434
Veterinarians,1.6985888500848734
Resorts,1.631465977934847
Herbs & Spices,1.631315079994802
Chicken Wings,1.6054413215610257
Ice Delivery,1.5735915849388864
Tex-Mex,1.5715969724943593
Hookah Bars,1.5564077557166247
Cinema,1.5524705416246138
Bar Crawl,1.5512071778799363
Hotels,1.548683795667416
Sports Bars,1.5313917811228732
Parent Cafes,1.5306693692462519
Chicken Shop,1.525384042731508
Buffets,1.523733262173798
Teppanyaki,1.4825303035039352
Bagels,1.4795673519124384
Pizza,1.4782400178994817
Do-It-Yourself Food,1.4721853076091962
Pretzels,1.4698849248120476
Tacos,1.4665872122883912
Food Delivery Services,1.459872296717053
Pasta Shops,1.4514374537597388
Hot Dogs,1.4392565694658124
Mexican,1.4391184063446245
Pakistani,1.434164683921713
Puerto Rican,1.4341612509470159
Fondue,1.427519268369166
Bartenders,1.4259547634526915
Tiki Bars,1.4241717239562008
Ice Cream & Frozen Yogurt,1.4240105856881542
Gay Bars,1.4238787712714538
Cheesesteaks,1.4207996864339716
Soup,1.41835112421417
Italian,1.4148242542465337
Hakka,1.4142135623730951
African,1.4051157344474319
Mongolian,1.4030297709570743
Imported Food,1.396031285881446
Salad,1.3952893474576753
Coffee & Tea,1.39457246763142
Farms,1.3926203815183784
Irish Pub,1.3902075692673435
Sandwiches,1.383135902496672
Piano Bars,1.3828964615095587
Scandinavian,1.3782194821076228
Sushi Bars,1.3774268534561047
Pancakes,1.3752917831754627
Delis,1.3743830430469481
Donuts,1.3739676103353522
Wraps,1.3704694263559871
Japanese,1.3625205468505814
Irish,1.351172671551827
Dim Sum,1.3491232693221724
Sicilian,1.346014187192211
Dive Bars,1.3447084214449578
Barbeque,1.3407731511602563
Asian Fusion,1.3405920407485978
Pubs,1.333791577688959
Lounges,1.3324939732885968
Cantonese,1.3291824681807847
Waffles,1.3281485704530267
Desserts,1.3235718899790114
Packing Services,1.3228756555322954
Bakeries,1.3149723335481875
Egyptian,1.3115496335640033
Indian,1.3107418154385708
Comfort Food,1.3101329034973053
Cajun/Creole,1.3087348358060726
Beer Gardens,1.3076018230539246
Breweries,1.306933458566535
Vietnamese,1.3037941581564
Pick Your Own Farms,1.3003811287277613
Wine & Spirits,1.3000800249994473
Brazilian,1.2979018889314782
Whiskey Bars,1.2942674419274454
Greek,1.29395519134671
Noodles,1.2927347841744752
New Mexican Cuisine,1.2926241082688992
Portuguese,1.2923110432659337
Soul Food,1.2895238615371891
Czech,1.2881724616046455
Beer Bar,1.287908546747719
Cocktail Bars,1.2878709942128217
Coffeeshops,1.2862007441734569
Specialty Food,1.2858494456711496
Singaporean,1.2850269041312945
Hong Kong Style Cafe,1.2845047010803619
Haitian,1.2811773464623293
Acai Bowls,1.2748099159086723
Thai,1.273185043774953
Social Clubs,1.2723660983308005
Ethnic Food,1.2716373706955875
Gastropubs,1.2712454964046107
Kosher,1.2708261879318876
Cupcakes,1.2700985587116047
Fish & Chips,1.2681243187613003
Armenian,1.267923135044278
Malaysian,1.2675073500977803
Persian/Iranian,1.2647851245575128
Juice Bars & Smoothies,1.2628048975362471
Mediterranean,1.2619730178872892
Brewpubs,1.2614064164386605
Cuban,1.2594759737072665
Pop-Up Restaurants,1.2579846540574582
Cafeteria,1.2575108683655671
Trinidadian,1.2567455123056623
Kebab,1.2545245632527817
Colombian,1.2528174070144866
Custom Cakes,1.2511377694301489
Bubble Tea,1.2509476640164587
Dietitians,1.2475039016591214
Moroccan,1.2473875344162282
Korean,1.2466945384150696
Seafood Markets,1.2420136735761642
Pan Asian,1.241209908153562
Cafes,1.2410256389982104
Shanghainese,1.2318853796910556
Taiwanese,1.231776406750963
Peruvian,1.2316241241099273
Basque,1.2292699169175112
Gelato,1.2242391386392582
Tapas Bars,1.2220891824601128
Tapas/Small Plates,1.2215796503307257
Ramen,1.2184162624840404
French,1.218011547557685
Falafel,1.2171127226674157
British,1.217046294680175
Hawaiian,1.2165869402654166
German,1.211324018594519
Themed Cafes,1.2093267019382303
Arabic,1.2061853378569976
Food Trucks,1.204965328584189
Delicatessen,1.2022967725213933
Australian,1.1992658775514553
Ethnic Grocery,1.1977995719498757
Poutineries,1.1959544939299669
Russian,1.182472440285437
Cambodian,1.1799929849062387
Champagne Bars,1.1772754678031565
South African,1.1763920178518434
Belgian,1.1762214123405825
Argentine,1.1744828222030768
Internet Cafes,1.1739801608787328
Live/Raw Food,1.1683461822249506
Afghan,1.1653887130328433
Vegan,1.161748396789739
Turkish,1.1578367571281147
Tea Rooms,1.151319699364137
International Grocery,1.150710364682027
Ukrainian,1.150172775281776
Stadiums & Arenas,1.1403726474764482
Polish,1.138423970493632
Speakeasies,1.1364556349943098
Calabrian,1.1351144649262686
Macarons,1.1203888838346483
Drive-Thru Bars,1.1190913658414914
Wineries,1.116266826701093
Sardinian,1.114269305452836
Japanese Curry,1.1141150412176266
Poke,1.1126139194404423
Hotel bar,1.110555416597179
Butcher,1.1076519569011662
Patisserie/Cake Shop,1.1058228991549177
Ethiopian,1.095579165412605
Venezuelan,1.0955626744772338
Himalayan/Nepalese,1.087585361486965
Candy Stores,1.08737217363999
Meat Shops,1.0817899782711744
Austrian,1.075254142426625
Food Court,1.0718354151459037
Empanadas,1.0569873093698552
Coffee Roasteries,1.0458347714037313
Dinner Theater,1.0409897252548121
Food Stands,1.034346545653349
Oriental,1.0337767957500816
Eastern European,1.02469507659596
Cheese Shops,1.0105185797404637
Chocolatiers & Shops,1.0082831553018732
Syrian,1.0053052392335444
Cucina campana,0.9997610799153572
Popcorn Shops,0.9860685344762278
Israeli,0.9776338983915548
Scottish,0.9686524401877119
Farmers Market,0.9653116675719238
Dumplings,0.9258200997725515
Serbo Croatian,0.9147706269678725
Conveyor Belt Sushi,0.8799262268545912
Nicaraguan,0.8502825926194759
Cooking Schools,0.8290826245590606
Kiosk,0.7948732358632753
Beach Bars,0.0
Honey,0.0
